"checklist5_table_question","D1","D2","D3"
"1. Total number of investments (count)","9295","530","223"
"2. Total amount of investment (USD)","82986287841","4646469206","2010537552"
"3. Top sector (based on count of investments)","Others","Others","Others"
"4. Second-best sector (based on count of investments)","Cleantech...Semiconductors","Cleantech...Semiconductors","News..Search.and.Messaging"
"5. Third-best sector (based on count of investments)","Social..Finance..Analytics..Advertising","Social..Finance..Analytics..Advertising","Social..Finance..Analytics..Advertising, Entertainment"
"6. Number of investments in the top sector (refer to point 3)","2400","126","77"
"7. Number of investments in the second-best sector (refer to point 4)","1950","123","41"
"8. Number of investments in the third-best sector (refer to point 5)","1550","89","25"
"9. For the top sector count-wise (point 3), which company received the highest investment?","SpiderCloud Wireless","MyOptique Group","Myntra, HomeShop18, FirstCry.com, EximSoft-Trianz"
"10. For the second-best sector count-wise (point 4), which company received the highest investment?","Intermolecular, Zenverge","Onyvax","hike"
